origin_terminal,T0,T1,T3,T5,T8,T9,T10,T11,T13,T14,T15,T17,T18,T19,T21,T23,T24,T25,T26,T29,T31
T0,4.0,4.0,0.0,22.0,2.0,1.0,0.0,34.0,12.0,7.0,0.0,1.0,9.0,1.0,18.0,1.0,0.0,3.0,3.0,3.0,0.0
T1,4.0,11.0,3.0,10.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,13.0,0.0,5.0,1.0,0.0,1.0,8.0,0.0,2.0
T3,0.0,1.0,20.0,27.0,0.0,1.0,1.0,7.0,111.0,5.0,1.0,3.0,15.0,1.0,31.0,1.0,0.0,9.0,5.0,8.0,0.0
T5,19.0,10.0,44.0,34.0,6.0,19.0,15.0,8.0,12.0,3.0,6.0,3.0,64.0,17.0,18.0,20.0,21.0,40.0,11.0,9.0,3.0
T8,3.0,3.0,1.0,7.0,2.0,1.0,0.0,5.0,9.0,5.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,3.0,1.0,0.0
T9,2.0,1.0,0.0,9.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,9.0,0.0,1.0,0.0,0.0,0.0
T10,3.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0
T11,42.0,2.0,8.0,7.0,7.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,13.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0
T13,10.0,1.0,97.0,16.0,5.0,1.0,1.0,3.0,17.0,3.0,3.0,0.0,18.0,1.0,2.0,0.0,1.0,3.0,0.0,7.0,4.0
T14,2.0,0.0,3.0,4.0,4.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0
T15,1.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0
T17,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
T18,10.0,24.0,14.0,65.0,12.0,1.0,3.0,11.0,20.0,4.0,5.0,2.0,76.0,1.0,50.0,4.0,4.0,11.0,12.0,17.0,8.0
T19,1.0,1.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
T21,19.0,6.0,36.0,26.0,6.0,9.0,2.0,4.0,2.0,2.0,6.0,4.0,46.0,0.0,6.0,5.0,3.0,2.0,3.0,6.0,2.0
T23,1.0,0.0,4.0,8.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
T24,2.0,0.0,4.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0
T25,0.0,1.0,3.0,25.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,8.0,1.0,1.0,2.0,9.0,8.0,1.0,0.0,0.0
T26,1.0,5.0,1.0,9.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,23.0,1.0,7.0,0.0,1.0,2.0,6.0,0.0,0.0
T29,9.0,3.0,9.0,6.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,16.0,0.0,4.0,1.0,0.0,4.0,2.0,5.0,7.0
T31,0.0,0.0,1.0,8.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,4.0
