segmnet_id,wkt,time,avg_speed
21698145,"LINESTRING(21.03293 52.2997,21.036156 52.30052,21.038044 52.30099)",2024-11-04 18:30:00.000000,49
25588377,"LINESTRING(21.031017 52.300743,21.030834 52.300697,21.030739 52.300674,21.029856 52.30045)",2024-11-04 18:30:00.000000,7
19336080,"LINESTRING(20.885942 52.237476,20.884136 52.235706)",2024-11-04 18:30:00.000000,63
14690474,"LINESTRING(20.98486 52.282696,20.983232 52.281967)",2024-11-04 18:30:00.000000,52
24925453,"LINESTRING(20.86715 52.21934,20.866322 52.218636)",2024-11-04 18:30:00.000000,52
14690474,"LINESTRING(20.98486 52.282696,20.983232 52.281967)",2024-11-04 18:45:00.000000,39
19336080,"LINESTRING(20.885942 52.237476,20.884136 52.235706)",2024-11-04 19:00:00.000000,67
21698145,"LINESTRING(21.03293 52.2997,21.036156 52.30052,21.038044 52.30099)",2024-11-04 18:45:00.000000,54
22843601,"LINESTRING(20.89515 52.23976,20.894594 52.239788)",2024-11-04 18:45:00.000000,45
21087805,"LINESTRING(20.990568 52.28326,20.990223 52.283607,20.989979 52.283836)",2024-11-04 18:45:00.000000,43
16890541,"LINESTRING(20.990072 52.284916,20.991451 52.285545,20.992777 52.28616,20.994215 52.286835,20.99666 52.287945,20.997633 52.28836,20.998161 52.288567)",2024-11-04 18:45:00.000000,49
19563631,"LINESTRING(20.963326 52.27394,20.963448 52.27391,20.96364 52.273865,20.964117 52.273754,20.964207 52.273724,20.964245 52.27369)",2024-11-04 18:45:00.000000,0
19563631,"LINESTRING(20.963326 52.27394,20.963448 52.27391,20.96364 52.273865,20.964117 52.273754,20.964207 52.273724,20.964245 52.27369)",2024-11-04 18:30:00.000000,0
19121708,"LINESTRING(20.897982 52.239597,20.897097 52.239708,20.897022 52.23972,20.89697 52.239727,20.896868 52.239742,20.8968 52.239754)",2024-11-04 19:00:00.000000,11
24925453,"LINESTRING(20.86715 52.21934,20.866322 52.218636)",2024-11-04 19:15:00.000000,52
21087805,"LINESTRING(20.990568 52.28326,20.990223 52.283607,20.989979 52.283836)",2024-11-04 19:15:00.000000,32
14626171,"LINESTRING(20.959429 52.271843,20.959661 52.27156,20.95973 52.271496,20.959812 52.271423,20.959915 52.27136,20.960028 52.271297,20.960278 52.2712,20.960901 52.270935,20.961018 52.270893)",2024-11-04 19:30:00.000000,0
7458072,"LINESTRING(20.968794 52.274536,20.96821 52.274197,20.966566 52.27319)",2024-11-04 18:30:00.000000,47
24827497,"LINESTRING(20.897013 52.243725,20.897 52.24361,20.89695 52.243195,20.896902 52.242897,20.896778 52.242195,20.89677 52.24215,20.896765 52.242115,20.89675 52.242027,20.896742 52.24199)",2024-11-04 18:30:00.000000,14
17088110,"LINESTRING(20.98668 52.28297,20.987032 52.282993,20.987192 52.282993,20.98735 52.282986,20.987537 52.282967,20.98773 52.28294,20.987886 52.28291,20.988993 52.28268,20.989147 52.282654,20.98928 52.282646,20.98942 52.282642,20.989536 52.28265,20.989618 52.28266,20.989712 52.28268,20.989792 52.282707,20.989868 52.282738,20.989954 52.282776,20.99002 52.282825,20.990116 52.282906,20.99016 52.28296,20.990198 52.28303,20.990211 52.283077,20.990221 52.283134,20.990211 52.283226,20.99019 52.2833,20.990154 52.28335,20.990086 52.283436,20.990015 52.283512,20.989521 52.28389)",2024-11-04 18:30:00.000000,23
24691652,"LINESTRING(21.012354 52.299206,21.0127 52.29872,21.012959 52.29832,21.01318 52.298016)",2024-11-04 18:45:00.000000,4
20905350,"LINESTRING(20.990011 52.285084,20.989786 52.285,20.98961 52.284927,20.98951 52.28489,20.989418 52.284866,20.989351 52.284855,20.989235 52.284843,20.989134 52.284843,20.989054 52.284847,20.988972 52.28486,20.98889 52.28487,20.98881 52.28489,20.988724 52.284916,20.988651 52.284946,20.98857 52.28499,20.988491 52.285038,20.988417 52.285084,20.988277 52.285183,20.988096 52.28531,20.987997 52.285366,20.987902 52.28542,20.987799 52.285477,20.987709 52.28552)",2024-11-04 18:45:00.000000,45
7458072,"LINESTRING(20.968794 52.274536,20.96821 52.274197,20.966566 52.27319)",2024-11-04 18:45:00.000000,46
9687980,"LINESTRING(20.899847 52.242306,20.898596 52.242393,20.89841 52.242405)",2024-11-04 18:30:00.000000,10
20768134,"LINESTRING(20.956886 52.26082,20.957314 52.26066,20.957378 52.26063,20.95784 52.260456,20.958263 52.260284)",2024-11-04 18:30:00.000000,7
22666936,"LINESTRING(21.059534 52.30672,21.059425 52.306698,21.05838 52.30648)",2024-11-04 18:30:00.000000,25
20908583,"LINESTRING(21.015074 52.294598,21.014984 52.29458,21.014902 52.29457,21.01482 52.294567,21.014744 52.294563,21.014666 52.294563,21.0146 52.294567,21.014536 52.294575,21.014479 52.294582,21.014418 52.294594,21.014359 52.294613,21.014307 52.294632,21.014263 52.29465,21.01422 52.29467,21.01418 52.294697,21.01414 52.294727,21.014109 52.294758,21.014082 52.29479,21.014053 52.294827,21.014036 52.294857,21.014023 52.294888)",2024-11-04 18:30:00.000000,24
19352027,"LINESTRING(20.874033 52.24229,20.873407 52.24239,20.871468 52.242695)",2024-11-04 18:30:00.000000,33
22346316,"LINESTRING(21.001305 52.29184,21.00151 52.291634,21.001545 52.2916,21.002401 52.290707)",2024-11-04 18:30:00.000000,43
22296756,"LINESTRING(20.951828 52.25488,20.95222 52.25477,20.952707 52.25462,20.952894 52.25455,20.953045 52.254482,20.953188 52.254417,20.95332 52.25434,20.95351 52.25421,20.953638 52.254105,20.953846 52.253872,20.954008 52.25362,20.954212 52.25323)",2024-11-04 18:45:00.000000,41
25733701,"LINESTRING(21.016134 52.294094,21.01639 52.293747,21.017508 52.292183,21.01767 52.291958)",2024-11-04 18:45:00.000000,14
18038774,"LINESTRING(21.011732 52.301388,21.011757 52.301445,21.011818 52.30148,21.011919 52.301506)",2024-11-04 18:45:00.000000,0
7458072,"LINESTRING(20.968794 52.274536,20.96821 52.274197,20.966566 52.27319)",2024-11-04 19:00:00.000000,52
24163772,"LINESTRING(21.019476 52.289436,21.020056 52.288628)",2024-11-04 19:00:00.000000,17
24827497,"LINESTRING(20.897013 52.243725,20.897 52.24361,20.89695 52.243195,20.896902 52.242897,20.896778 52.242195,20.89677 52.24215,20.896765 52.242115,20.89675 52.242027,20.896742 52.24199)",2024-11-04 19:00:00.000000,22
22296756,"LINESTRING(20.951828 52.25488,20.95222 52.25477,20.952707 52.25462,20.952894 52.25455,20.953045 52.254482,20.953188 52.254417,20.95332 52.25434,20.95351 52.25421,20.953638 52.254105,20.953846 52.253872,20.954008 52.25362,20.954212 52.25323)",2024-11-04 19:00:00.000000,41
9049426,"LINESTRING(20.901783 52.244892,20.901047 52.244843,20.899372 52.24478)",2024-11-04 19:00:00.000000,46
24529121,"LINESTRING(20.956997 52.268497,20.957237 52.26839,20.957453 52.26827,20.957586 52.268196,20.958069 52.26788,20.958326 52.26777,20.958403 52.267742,20.958467 52.267727,20.958649 52.267673)",2024-11-04 19:00:00.000000,19
19352027,"LINESTRING(20.874033 52.24229,20.873407 52.24239,20.871468 52.242695)",2024-11-04 18:45:00.000000,29
21034244,"LINESTRING(20.95457 52.262836,20.955017 52.2633,20.955418 52.26371,20.955717 52.264015,20.956367 52.264637,20.957079 52.265293)",2024-11-04 18:45:00.000000,46
18038774,"LINESTRING(21.011732 52.301388,21.011757 52.301445,21.011818 52.30148,21.011919 52.301506)",2024-11-04 19:00:00.000000,0
24691652,"LINESTRING(21.012354 52.299206,21.0127 52.29872,21.012959 52.29832,21.01318 52.298016)",2024-11-04 19:00:00.000000,3
14690475,"LINESTRING(20.967756 52.272118,20.96764 52.272057,20.967443 52.271988,20.967281 52.271957,20.967125 52.271954,20.966978 52.27197,20.966852 52.271996,20.966732 52.272034,20.966656 52.27207,20.966578 52.272118,20.966515 52.272163,20.966465 52.27222,20.966421 52.27228,20.966387 52.272354,20.966383 52.272434,20.966396 52.272507,20.966417 52.272568,20.966448 52.272636,20.966497 52.272717,20.96662 52.272877)",2024-11-04 18:30:00.000000,30
19363784,"LINESTRING(20.874607 52.242195,20.87434 52.242237,20.874033 52.24229)",2024-11-04 18:45:00.000000,13
24557144,"LINESTRING(20.95978 52.26736,20.960531 52.267185,20.961994 52.26684,20.962093 52.26682,20.962145 52.266808,20.962254 52.26678)",2024-11-04 18:45:00.000000,18
26390292,"LINESTRING(21.092663 52.307785,21.092749 52.307896,21.092775 52.307934,21.092943 52.308155,21.093077 52.308327,21.093307 52.30861,21.094343 52.30984)",2024-11-04 18:45:00.000000,29
14690474,"LINESTRING(20.98486 52.282696,20.983232 52.281967)",2024-11-04 19:00:00.000000,46
25337271,"LINESTRING(20.986355 52.28568,20.986675 52.28547,20.987013 52.285244,20.98727 52.285072,20.987457 52.284943,20.98762 52.28483,20.987844 52.284668,20.988092 52.284485,20.988731 52.283993)",2024-11-04 19:00:00.000000,56
8558709,"LINESTRING(20.955393 52.264053,20.957262 52.26579,20.958876 52.26726)",2024-11-04 19:00:00.000000,53
22061180,"LINESTRING(21.032322 52.29996,21.032225 52.300056,21.03219 52.30009,21.032166 52.300114,21.031979 52.300293,21.03168 52.30064)",2024-11-04 19:15:00.000000,19
26357019,"LINESTRING(21.015995 52.29296,21.015854 52.29293,21.01565 52.292873,21.015207 52.29278,21.015024 52.292747,21.014515 52.292645,21.014294 52.292603,21.014038 52.293118,21.014063 52.293133,21.01483 52.293247,21.01488 52.293247,21.014908 52.29324,21.014948 52.293217,21.01497 52.29317,21.014986 52.293156,21.015003 52.29315,21.015266 52.2932,21.015291 52.29322)",2024-11-04 19:15:00.000000,3
14690475,"LINESTRING(20.967756 52.272118,20.96764 52.272057,20.967443 52.271988,20.967281 52.271957,20.967125 52.271954,20.966978 52.27197,20.966852 52.271996,20.966732 52.272034,20.966656 52.27207,20.966578 52.272118,20.966515 52.272163,20.966465 52.27222,20.966421 52.27228,20.966387 52.272354,20.966383 52.272434,20.966396 52.272507,20.966417 52.272568,20.966448 52.272636,20.966497 52.272717,20.96662 52.272877)",2024-11-04 19:15:00.000000,34
8558709,"LINESTRING(20.955393 52.264053,20.957262 52.26579,20.958876 52.26726)",2024-11-04 19:30:00.000000,46
21034246,"LINESTRING(20.958035 52.266106,20.95848 52.266495,20.95886 52.266834)",2024-11-04 19:45:00.000000,26
24163772,"LINESTRING(21.019476 52.289436,21.020056 52.288628)",2024-11-04 18:30:00.000000,26
25384087,"LINESTRING(20.864294 52.216106,20.86475 52.216137,20.864862 52.21614)",2024-11-04 18:30:00.000000,4
24691652,"LINESTRING(21.012354 52.299206,21.0127 52.29872,21.012959 52.29832,21.01318 52.298016)",2024-11-04 18:30:00.000000,8
24163772,"LINESTRING(21.019476 52.289436,21.020056 52.288628)",2024-11-04 18:45:00.000000,23
21580024,"LINESTRING(21.033167 52.29764,21.033432 52.297634,21.033455 52.297634,21.033478 52.297638,21.033499 52.297646,21.033516 52.297653)",2024-11-04 18:45:00.000000,8
18279722,"LINESTRING(20.898394 52.241833,20.898706 52.24175,20.899658 52.241676)",2024-11-04 18:30:00.000000,10
20543625,"LINESTRING(20.963192 52.275818,20.963404 52.27559)",2024-11-04 18:30:00.000000,7
